NO,TYPE,DEFINE1,DEFINE2
779,GPA38YU8250_A,,
780,GPA40YU8250_A,,
781,GPA44YU8250_A,,
782,GPA48YU8250_A,,
783,GPA50YU8250_A,,
784,GPA60YU8250_A,,
785,GPT20YU8150_A,,
786,GPT22YU8150_A,,
787,GPT24YU8150_A,,
788,GPT25YU8150_A,,
789,GPT26YU8150_A,,
790,GPT28YU8150_A,,
791,GPT30YU8150_A,,
792,GPT32YU8150_A,,
793,GPT34YU8150_A,,
794,GPT36YU8150_A,,
795,GPT38YU8150_A,,
796,GPT40YU8150_A,,
797,GPT44YU8150_A,,
798,GPT48YU8150_A,,
799,GPT50YU8150_A,,
800,GPT60YU8150_A,,
801,GPT20YU8200_A,,
802,GPT22YU8200_A,,
803,GPT24YU8200_A,,
804,GPT25YU8200_A,,
805,GPT26YU8200_A,,
806,GPT28YU8200_A,,
807,GPT30YU8200_A,,
808,GPT32YU8200_A,,
809,GPT34YU8200_A,,
810,GPT36YU8200_A,,
811,GPT38YU8200_A,,
812,GPT40YU8200_A,,
813,GPT44YU8200_A,,
814,GPT48YU8200_A,,
815,GPT50YU8200_A,,
816,GPT60YU8200_A,,
817,GPT20YU8250_A,,
818,GPT22YU8250_A,,
819,GPT24YU8250_A,,
820,GPT25YU8250_A,,
821,GPT26YU8250_A,,
822,GPT28YU8250_A,,
823,GPT30YU8250_A,,
824,GPT32YU8250_A,,
825,GPT34YU8250_A,,
826,GPT36YU8250_A,,
827,GPT38YU8250_A,,
828,GPT40YU8250_A,,
829,GPT44YU8250_A,,
830,GPT48YU8250_A,,
831,GPT50YU8250_A,,
832,GPT60YU8250_A,,
833,GPM20YU8150_A,,
834,GPM22YU8150_A,,
835,GPM24YU8150_A,,
836,GPM25YU8150_A,,
837,GPM26YU8150_A,,
838,GPM28YU8150_A,,
839,GPM30YU8150_A,,
840,GPM32YU8150_A,,
841,GPM34YU8150_A,,
842,GPM36YU8150_A,,
843,GPM38YU8150_A,,
844,GPM40YU8150_A,,
845,GPM44YU8150_A,,
846,GPM48YU8150_A,,
847,GPM50YU8150_A,,
848,GPM60YU8150_A,,
849,GPM20YU8200_A,,
850,GPM22YU8200_A,,
851,GPM24YU8200_A,,
852,GPM25YU8200_A,,
853,GPM26YU8200_A,,
854,GPM28YU8200_A,,
855,GPM30YU8200_A,,
856,GPM32YU8200_A,,
857,GPM34YU8200_A,,
858,GPM36YU8200_A,,
859,GPM38YU8200_A,,
860,GPM40YU8200_A,,
861,GPM44YU8200_A,,
862,GPM48YU8200_A,,
863,GPM50YU8200_A,,
864,GPM60YU8200_A,,
865,GPM20YU8250_A,,
866,GPM22YU8250_A,,
867,GPM24YU8250_A,,
868,GPM25YU8250_A,,
869,GPM26YU8250_A,,
870,GPM28YU8250_A,,
871,GPM30YU8250_A,,
872,GPM32YU8250_A,,
873,GPM34YU8250_A,,
874,GPM36YU8250_A,,
875,GPM38YU8250_A,,
876,GPM40YU8250_A,,
877,GPM44YU8250_A,,
878,GPM48YU8250_A,,
879,GPM50YU8250_A,,
880,GPM60YU8250_A,,
881,GPA20YU8150_B,,
882,GPA22YU8150_B,,
883,GPA24YU8150_B,,
884,GPA25YU8150_B,,
